crop	days	deficit	surplus	heat	cold
sugarcane	30	1	1	1	1
sugarcane	60	1	1	1	1
sugarcane	-120	1	1	1	1
sugarcane	-90	1	1	1	1
sugarcane	-60	1	1	1	1
sugarcane	-30	1	1	1	1
maize	30	1.25	1.25	1	1.25
maize	60	1	1	1	1
maize	-120	1	1	1	1
maize	-90	1.5	1	1.25	1
maize	-60	1.25	1	1	1
maize	-30	1.25	1.25	1	1
rice	30	1.25	0.25	1	1
rice	60	1	0.25	1	1
rice	-120	1	0.25	1	1
rice	-90	1.25	0.25	1	1
rice	-60	1	0.25	1.5	1
rice	-30	1	0.25	1	1
wheat	30	1.25	1.5	1	1.25
wheat	60	1.25	1	1	1
wheat	-120	1	1	1	1
wheat	-90	1.5	1	1.25	1
wheat	-60	1.5	1	1.25	1
wheat	-30	1	1.5	1	1
potatoes	30	1.25	1.5	1	1
potatoes	60	1	1	1	1
potatoes	-120	1.5	1.25	1.5	1
potatoes	-90	1.5	1.25	1.5	1
potatoes	-60	1.5	1.25	1	1
potatoes	-30	1.25	1.25	1	1
